Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
505 Games,6.63,4.58,0.07,1.25
Activision,105.52,67.50999999999999,3.8899999999999997,24.44
Bethesda Softworks,10.05,8.719999999999999,0.59,3.0
Capcom,2.4299999999999997,2.0,5.21,0.99
Electronic Arts,17.479999999999997,45.57999999999999,1.1400000000000003,13.329999999999998
Konami Digital Entertainment,2.63,1.74,0.83,0.83
LucasArts,3.66,1.63,0.0,0.53
Microsoft Game Studios,68.76,26.54,0.9500000000000003,8.9
Nintendo,258.9599999999999,201.4000000000001,120.59999999999995,53.11000000000001
RedOctane,3.81,0.63,0.0,0.68
Sega,4.22,6.38,1.1,1.49
Sony Computer Entertainment,13.770000000000001,14.49,1.38,6.02
Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01
Square Enix,3.62,1.24,4.2,2.26
Take-Two Interactive,45.71000000000001,38.69,2.63,15.159999999999997
Ubisoft,34.23,20.71,0.5599999999999999,6.65
Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8
